low_temp,high_temp,top,down
-100,4,패딩,청바지
5,8,코트,청바지
9,11,니트,청바지
12,16,티셔츠,청바지
17,19,티셔츠,면바지
20,22,얇은 가디건,면바지
23,27,반팔,반바지
28,100,반팔,반바지
